Street,Vicinity,City,District,Province,Classification,Zonal Value,Barangay
BY-PASS,INTERIOR LOTS,,PULILAN,BULACAN,I,4800,TIBAG
BY-PASS,INTERIOR LOTS,,PULILAN,BULACAN,A1,1500,TIBAG
MUNICIPAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,RR,3000,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,CR,6000,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,I,5700,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A1,2000,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,RR,2500,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,CR,5000,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,I,4800,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A1,1500,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A10,*,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A23,*,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A40,*,TIBAG
*ALL OTHER STREETS,Piggery/  Poultry,,PULILAN,BULACAN,A50,*,TIBAG
*ALL OTHER STREETS,Piggery/  Poultry,,PULILAN,BULACAN,A50,*,TIBAG
*ALL OTHER STREETS,Piggery/  Poultry,,PULILAN,BULACAN,GP,*,TIBAG
*NOTE: PROVINCIAL ROAD FOR DELETION AS PER MUNICIPAL PLANNING DEVELOPMENT OFFICER / MUNICIPAL ASSESSOR ,Piggery/  Poultry,,PULILAN,BULACAN,,,TIBAG
"              A10,A23,A40,A40,A50(PIGGERY/POULTRY,A50 & GP IN MUNICIPAL ROAD FOR DELETION AS PER MUNICIPAL PLANNING DEVELOPMENT OFFICER / MUNICIPAL ASSESSOR ",Piggery/  Poultry,,PULILAN,BULACAN,,,TIBAG
Province :,BULACAN,,PULILAN,BULACAN,,,TIBAG
City/Municipality :,BUSTOS,,PULILAN,BULACAN,,,TIBAG
Zone/Barangay :,MALAWAK,,PULILAN,BULACAN,D.O. No.,9-2020,TIBAG
Zone/Barangay :,MALAWAK,,PULILAN,BULACAN,Effectivity Date,3/7/2020,TIBAG
STREET NAME / SUBDIVISION / CONDOMINIUM,VICINITY,,PULILAN,BULACAN,CLASSIFICATION, ,TIBAG
STREET NAME / SUBDIVISION / CONDOMINIUM,VICINITY,,PULILAN,BULACAN,,3RD REV,TIBAG
STREET NAME / SUBDIVISION / CONDOMINIUM,VICINITY,,PULILAN,BULACAN,,ZV.SQ.M.,TIBAG
PROVINCIAL ROAD,VICINITY,,PULILAN,BULACAN,RR,*,TIBAG
PROVINCIAL ROAD,VICINITY,,PULILAN,BULACAN,CR,*,TIBAG
PROVINCIAL ROAD,VICINITY,,PULILAN,BULACAN,A1,*,TIBAG
PROVINCIAL ROAD,VICINITY,,PULILAN,BULACAN,A50,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,RR,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,CR,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A1,*,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,RR,2000,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,CR,4000,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,I,3800,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A1,1000,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,RR,*,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,CR,*,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,I,*,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A1,*,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A2,*,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A10,*,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A23,*,TIBAG
*ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A50,*,TIBAG
*ALL OTHER STREETS,Piggery / Poultry,,PULILAN,BULACAN,A50,*,TIBAG
*ALL OTHER STREETS,Piggery / Poultry,,PULILAN,BULACAN,GP,*,TIBAG
*NOTE: PROVINCIAL ROAD NON- EXISTING,Piggery / Poultry,,PULILAN,BULACAN,,,TIBAG
               BARANGAY ROAD INSTEAD OF ALL OTHER STREETS AS PER  MUNICIPAL PLANNING DEVELOPMENT OFFICER / MUNICIPAL SSESSOR,Piggery / Poultry,,PULILAN,BULACAN,,,TIBAG
"                 A10,A23,A50(PIGGERY/POULTRY,A50 & GP IN MUNICIPAL ROAD FOR DELETION AS PER MUNICIPAL PLANNING DEVELOPMENT OFFICER / MUNICIPAL ASSESSOR ",Piggery / Poultry,,PULILAN,BULACAN,,,TIBAG
Province :,BULACAN,,PULILAN,BULACAN,,,TIBAG
City/Municipality :,BUSTOS,,PULILAN,BULACAN,,,TIBAG
Zone/Barangay :,POBLACION,,PULILAN,BULACAN,D.O. No.,9-2020,TIBAG
Zone/Barangay :,POBLACION,,PULILAN,BULACAN,Effectivity Date,3/7/2020,TIBAG
STREET NAME / SUBDIVISION / CONDOMINIUM,VICINITY,,PULILAN,BULACAN,CLASSIFICATION, ,TIBAG
STREET NAME / SUBDIVISION / CONDOMINIUM,VICINITY,,PULILAN,BULACAN,,3RD REV,TIBAG
STREET NAME / SUBDIVISION / CONDOMINIUM,VICINITY,,PULILAN,BULACAN,,ZV.SQ.M.,TIBAG
NATIONAL ROAD,VICINITY,,PULILAN,BULACAN,RR,8500,TIBAG
NATIONAL ROAD,VICINITY,,PULILAN,BULACAN,CR,10000,TIBAG
NATIONAL ROAD,VICINITY,,PULILAN,BULACAN,I,9000,TIBAG
STO. NIÑO ST,VICINITY,,PULILAN,BULACAN,RR,4000,TIBAG
STO. NIÑO ST,VICINITY,,PULILAN,BULACAN,CR,8000,TIBAG
MARKET SITE,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,RR,5000,TIBAG
MARKET SITE,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,CR,10000,TIBAG
CONCHITA L. HILARIO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,RR,5000,TIBAG
CONCHITA L. HILARIO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,CR,10000,TIBAG
CAPT. LEON BELTRAN,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,RR,4000,TIBAG
CAPT. LEON BELTRAN,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,CR,8000,TIBAG
CAPT. VINDOY ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,RR,4000,TIBAG
CAPT. VINDOY ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,CR,8000,TIBAG
EUGENIO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,RR,4000,TIBAG
EUGENIO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,CR,8000,TIBAG
JULIANO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,RR,4000,TIBAG
JULIANO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,CR,8000,TIBAG
JULIANO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,GP,3000,TIBAG
JULIANO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,A1,3000,TIBAG
L. CRUZ ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,RR,4000,TIBAG
L. CRUZ ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,CR,8000,TIBAG
M. PRADO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,RR,4000,TIBAG
M. PRADO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,CR,8000,TIBAG
M. TADEO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,RR,4000,TIBAG
M. TADEO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,CR,8000,TIBAG
PAULINO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,RR,4000,TIBAG
PAULINO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,CR,8000,TIBAG
P. DOMINGO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,RR,4000,TIBAG
P. DOMINGO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,CR,8000,TIBAG
P. TADEO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,RR,4000,TIBAG
P. TADEO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,CR,8000,TIBAG
P. TELESFORO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,RR,4000,TIBAG
P. TELESFORO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,CR,8000,TIBAG
S. VILLANUEVA ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,RR,4000,TIBAG
S. VILLANUEVA ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,CR,8000,TIBAG
S. VILLANUEVA ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,GP,3000,TIBAG
L. PRADO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,RR,4000,TIBAG
L. PRADO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,CR,8000,TIBAG
A. HILARIO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,RR,4000,TIBAG
A. HILARIO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,CR,8000,TIBAG
MERCADO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,RR,4000,TIBAG
MERCADO ST,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,CR,8000,TIBAG
ALL OTHER STREETS,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,RR,3500,TIBAG
ALL OTHER STREETS,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,CR,7000,TIBAG
ALL OTHER STREETS,ALONG GEN.A.SANTOS HI-WAY,,PULILAN,BULACAN,A1,3000,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,RR,*,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,CR,*,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A1,*,TIBAG
Province :,BULACAN,,PULILAN,BULACAN,,,TIBAG
City/Municipality :,BUSTOS,,PULILAN,BULACAN,,,TIBAG
Zone/Barangay :,SAN PEDRO,,PULILAN,BULACAN,D.O. No.,9-2020,TIBAG
Zone/Barangay :,SAN PEDRO,,PULILAN,BULACAN,Effectivity Date,3/7/2020,TIBAG
STREET NAME / SUBDIVISION / CONDOMINIUM,VICINITY,,PULILAN,BULACAN,CLASSIFICATION, ,TIBAG
STREET NAME / SUBDIVISION / CONDOMINIUM,VICINITY,,PULILAN,BULACAN,,3RD REV,TIBAG
STREET NAME / SUBDIVISION / CONDOMINIUM,VICINITY,,PULILAN,BULACAN,,ZV.SQ.M.,TIBAG
NATIONAL ROAD,VICINITY,,PULILAN,BULACAN,RR,4000,TIBAG
NATIONAL ROAD,VICINITY,,PULILAN,BULACAN,CR,8000,TIBAG
NATIONAL ROAD,VICINITY,,PULILAN,BULACAN,A1,2500,TIBAG
NATIONAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,RR,3000,TIBAG
NATIONAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,CR,6000,TIBAG
NATIONAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A1,2000,TIBAG
PROVINCIAL ROAD (L.MERCADO),INTERIOR LOTS,,PULILAN,BULACAN,RR,3000,TIBAG
PROVINCIAL ROAD (L.MERCADO),INTERIOR LOTS,,PULILAN,BULACAN,CR,6000,TIBAG
PROVINCIAL ROAD (L.MERCADO),INTERIOR LOTS,,PULILAN,BULACAN,A1,2000,TIBAG
PROVINCIAL ROAD (L.MERCADO),INTERIOR LOTS,,PULILAN,BULACAN,A50,1500,TIBAG
PROVINCIAL ROAD (L.MERCADO),INTERIOR LOTS,,PULILAN,BULACAN,RR,2500,TIBAG
PROVINCIAL ROAD (L.MERCADO),INTERIOR LOTS,,PULILAN,BULACAN,CR,5000,TIBAG
PROVINCIAL ROAD (L.MERCADO),INTERIOR LOTS,,PULILAN,BULACAN,A1,1500,TIBAG
PROVINCIAL ROAD (L.MERCADO),INTERIOR LOTS,,PULILAN,BULACAN,A50,1000,TIBAG
LE REGINA SUBDIVISION,INTERIOR LOTS,,PULILAN,BULACAN,RR,4000,TIBAG
LE REGINA SUBDIVISION,INTERIOR LOTS,,PULILAN,BULACAN,CR,4600,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,RR,2500,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,CR,5000,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A1,1500,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,RR,2000,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,CR,4500,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A1,1300,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A10,800,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A23,900,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A40,2000,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A50,800,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,GP,1000,TIBAG
Province :,BULACAN,,PULILAN,BULACAN,,,TIBAG
City/Municipality :,BUSTOS,,PULILAN,BULACAN,,,TIBAG
Zone/Barangay :,TALAMPAS,,PULILAN,BULACAN,D.O. No.,9-2020,TIBAG
Zone/Barangay :,TALAMPAS,,PULILAN,BULACAN,Effectivity Date,3/7/2020,TIBAG
STREET NAME / SUBDIVISION / CONDOMINIUM,VICINITY,,PULILAN,BULACAN,CLASSIFICATION, ,TIBAG
STREET NAME / SUBDIVISION / CONDOMINIUM,VICINITY,,PULILAN,BULACAN,,3RD REV,TIBAG
STREET NAME / SUBDIVISION / CONDOMINIUM,VICINITY,,PULILAN,BULACAN,,ZV.SQ.M.,TIBAG
BY-PASS,VICINITY,,PULILAN,BULACAN,RR,4000,TIBAG
 ,VICINITY,,PULILAN,BULACAN,CR,8000,TIBAG
 ,VICINITY,,PULILAN,BULACAN,I,7600,TIBAG
 ,VICINITY,,PULILAN,BULACAN,A1,2000,TIBAG
NATIONAL ROAD,VICINITY,,PULILAN,BULACAN,RR,6800,TIBAG
NATIONAL ROAD,VICINITY,,PULILAN,BULACAN,CR,8000,TIBAG
NATIONAL ROAD,VICINITY,,PULILAN,BULACAN,I,7200,TIBAG
NATIONAL ROAD,VICINITY,,PULILAN,BULACAN,A1,2500,TIBAG
NATIONAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,RR,3000,TIBAG
NATIONAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,CR,6000,TIBAG
NATIONAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,I,5700,TIBAG
NATIONAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A1,2000,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,RR,3000,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,CR,6000,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,I,5700,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A1,2000,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A50,1000,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,RR,2500,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,CR,5000,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,I,4800,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A50,1500,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,GP,1000,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A1,1500,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A10,1000,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A16,1400,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A23,1400,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,RR,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,CR,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A1,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A50,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,RR,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,CR,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A1,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A50,*,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,RR,*,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,CR,*,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A1,*,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,RR,*,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,CR,*,TIBAG
*NOTE:  PROVINCIAL ROAD  NON-EXISTING,INTERIOR LOTS,,PULILAN,BULACAN,,,TIBAG
           ALL OTHER STREETS TO BE DELETED TO AVOID DUPLICATION,INTERIOR LOTS,,PULILAN,BULACAN,,,TIBAG
Province :,BULACAN,,PULILAN,BULACAN,,,TIBAG
City/Municipality :,BUSTOS,,PULILAN,BULACAN,,,TIBAG
Zone/Barangay :,TANAWAN,,PULILAN,BULACAN,D.O. No.,9-2020,TIBAG
Zone/Barangay :,TANAWAN,,PULILAN,BULACAN,Effectivity Date,3/7/2020,TIBAG
STREET NAME / SUBDIVISION / CONDOMINIUM,VICINITY,,PULILAN,BULACAN,CLASSIFICATION, ,TIBAG
STREET NAME / SUBDIVISION / CONDOMINIUM,VICINITY,,PULILAN,BULACAN,,3RD REV,TIBAG
STREET NAME / SUBDIVISION / CONDOMINIUM,VICINITY,,PULILAN,BULACAN,,ZV.SQ.M.,TIBAG
NATIONAL ROAD,VICINITY,,PULILAN,BULACAN,RR,4000,TIBAG
NATIONAL ROAD,VICINITY,,PULILAN,BULACAN,CR,8000,TIBAG
NATIONAL ROAD,VICINITY,,PULILAN,BULACAN,I,7600,TIBAG
NATIONAL ROAD,VICINITY,,PULILAN,BULACAN,A1,2500,TIBAG
NATIONAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,RR,3000,TIBAG
NATIONAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,CR,6000,TIBAG
NATIONAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,I,5700,TIBAG
NATIONAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A1,2000,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,RR,3000,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,CR,6000,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,I,5700,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A1,2000,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A50,1500,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,RR,2500,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,CR,5000,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,I,4800,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A1,1500,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A10,1000,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A16,1400,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A23,1400,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A32,1400,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A41,1400,TIBAG
BARANGAY ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A50,1000,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,RR,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,CR,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A1,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A50,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,RR,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,CR,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A1,*,TIBAG
MARGARITA ESTATE SUBD.,INTERIOR LOTS,,PULILAN,BULACAN,RR,5000,TIBAG
MARGARITA ESTATE SUBD.,INTERIOR LOTS,,PULILAN,BULACAN,CR,5800,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,RR,*,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,CR,*,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A1,*,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,RR,*,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,CR,*,TIBAG
*NOTE:  PROVINCIAL ROAD  NON-EXISTING,INTERIOR LOTS,,PULILAN,BULACAN,,,TIBAG
                ALL OTHER STREETS TO BE DELETED TO AVOID DUPLICATION,INTERIOR LOTS,,PULILAN,BULACAN,,,TIBAG
Province :,BULACAN,,PULILAN,BULACAN,,,TIBAG
City/Municipality :,BUSTOS,,PULILAN,BULACAN,,,TIBAG
Zone/Barangay :,TIBAGAN,,PULILAN,BULACAN,D.O. No.,9-2020,TIBAG
Zone/Barangay :,TIBAGAN,,PULILAN,BULACAN,Effectivity Date,3/7/2020,TIBAG
STREET NAME / SUBDIVISION / CONDOMINIUM,VICINITY,,PULILAN,BULACAN,CLASSIFICATION, ,TIBAG
STREET NAME / SUBDIVISION / CONDOMINIUM,VICINITY,,PULILAN,BULACAN,,3RD REV,TIBAG
STREET NAME / SUBDIVISION / CONDOMINIUM,VICINITY,,PULILAN,BULACAN,,ZV.SQ.M.,TIBAG
BY-PASS,VICINITY,,PULILAN,BULACAN,RR,3000,TIBAG
BY-PASS,VICINITY,,PULILAN,BULACAN,CR,6000,TIBAG
BY-PASS,VICINITY,,PULILAN,BULACAN,I,5700,TIBAG
BY-PASS,VICINITY,,PULILAN,BULACAN,A1,1600,TIBAG
NATIONAL ROAD,VICINITY,,PULILAN,BULACAN,RR,5100,TIBAG
NATIONAL ROAD,VICINITY,,PULILAN,BULACAN,CR,6000,TIBAG
NATIONAL ROAD,VICINITY,,PULILAN,BULACAN,I,5400,TIBAG
NATIONAL ROAD,VICINITY,,PULILAN,BULACAN,A1,2000,TIBAG
NATIONAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,RR,2500,TIBAG
NATIONAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,CR,5000,TIBAG
NATIONAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,I,4800,TIBAG
NATIONAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A1,1500,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,RR,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,CR,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A1,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A50,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,RR,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,CR,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A1,*,TIBAG
PROVINCIAL ROAD,INTERIOR LOTS,,PULILAN,BULACAN,A50,*,TIBAG
LEGARDA SUBD. (GOOD FAITH ENT.),INTERIOR LOTS,,PULILAN,BULACAN,RR,4000,TIBAG
LEGARDA SUBD. (GOOD FAITH ENT.),INTERIOR LOTS,,PULILAN,BULACAN,CR,4600,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,RR,2500,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,CR,5000,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,I,4800,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A1,1500,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,RR,2000,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,CR,4000,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,I,3800,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A1,1400,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A10,1800,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A23,1200,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A32,1300,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A41,1000,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,A50,800,TIBAG
ALL OTHER STREETS,INTERIOR LOTS,,PULILAN,BULACAN,GP,1000,TIBAG
*NOTE:  PROVINCIAL ROAD FOR DELETION - NON-EXISTING,INTERIOR LOTS,,PULILAN,BULACAN,,,TIBAG
Province                   :,BULACAN,,PULILAN,BULACAN,,,TIBAG
